Samples,Methanobacteriaceae,Cohaesibacteraceae,UTPRO1,Nannocystaceae,Solirubrobacteraceae,Cardiobacteriaceae,Desulfomicrobiaceae,Syntrophobacteraceae,unclassified_Polyangiales,Sulfuricellaceae,unclassified_Luteitaleia,CAG.138,unclassified_Thermodesulfovibrionales,Ethanoligenenaceae,UBA1067,unclassified_Sphingobacteriales,Diplorickettsiaceae,X2.12/FULL.35.15,Methylophilaceae,SCN.69.37,Thermoanaerobaculaceae,Savagellaceae,Sulfurovaceae,Desulfomonilaceae,Akkermansiaceae,Thiovulaceae,Planctomycetaceae,Mitochondria,unclassified_Cyanobacteriia,unclassified_Cyanobacteriales,unclassified_Myxococcota,Vibrionaceae,OSC116,Methylococcaceae,unclassified_Pseudomonadales,Pelobacteraceae,Hydrogenophilaceae,unclassified_Verrucomicrobiae,Luteitaleaceae,unclassified_Desulfatiglanales,Chthoniobacteraceae,Anaerotignaceae,Cellulosilyticaceae,Turneriellaceae,Turicibacteraceae,unclassified_Syntrophales,unclassified_Actinobacteria,Dermatophilaceae,Exiguobacteraceae,Desulfobaccaceae,Treponemataceae_B,Saccharimonadaceae,Mucispirillaceae,Anaerofustaceae,unclassified_OPB41,unclassified_Chthoniobacterales,X2.02/FULL.66.22,Ilumatobacteraceae,CG2.30.64.16,UBA1381,unclassified_Microtrichales,Collierbacteraceae,Bacteriovoracaceae,Carnobacteriaceae,RBG.13.43.22,CAG.508,Paludibacteraceae,Nitrososphaeraceae,Nitrosopumilaceae,Pasteurellaceae,Filifactoraceae,Sphingomonadaceae,Desulfovibrionaceae,Xanthobacteraceae,Campylobacteraceae,Beijerinckiaceae,Erysipelatoclostridiaceae,Gastranaerophilaceae,Selenomonadaceae,Helcococcaceae,Erysipelotrichaceae,Flavobacteriaceae,Eubacteriaceae,Corynebacteriaceae,Anaerovoracaceae,Burkholderiaceae,Neisseriaceae,Moraxellaceae,Enterobacteriaceae,Rhodobacteraceae,Rhizobiaceae,Steroidobacteraceae,Pseudomonadaceae,Psychromonadaceae,Methylomonadaceae,Rhodanobacteraceae,Xanthomonadaceae,Clostridiaceae,Caulobacteraceae,Acetobacteraceae,Peptostreptococcaceae,Peptoniphilaceae,Ruminococcaceae,Lachnospiraceae,Leptotrichiaceae,Acidaminococcaceae,Negativicoccaceae,Actinomycetaceae,Geodermatophilaceae,Microbacteriaceae,Pseudonocardiaceae,Bifidobacteriaceae,Micrococcaceae,Dermabacteraceae,Veillonellaceae,Dialisteraceae,Paenibacillaceae,Gemellaceae,Staphylococcaceae,Mycoplasmataceae_B,Treponemataceae,Megasphaeraceae,Nocardioidaceae,Porphyromonadaceae,Chitinophagaceae,Eggerthellaceae,Coriobacteriaceae,Atopobiaceae,Bacteroidaceae,Ureaplasmataceae,Devosiaceae,Butyricicoccaceae,Oscillospiraceae,DTU089,Lactobacillaceae,Aerococcaceae,Enterococcaceae,Streptococcaceae,Fusobacteriaceae,Geobacteraceae,UBA660,Marinifilaceae,Weeksellaceae,Dysgonomonadaceae,Muribaculaceae,Hymenobacteraceae,Cyclobacteriaceae,Rikenellaceae,Tannerellaceae,Sphingobacteriaceae,Spirosomaceae,unclassified_Bacteria,Hyphomicrobiaceae,unclassified_Alphaproteobacteria,Prolixibacteraceae,unclassified_Betaproteobacteriales,unclassified_Bacteroidia,unclassified_Anaerolineales,unclassified_Anaerolineae,unclassified_Rhizobiales,MBNT15,UKL13.2,Reyranellaceae,unclassified_Proteobacteria,Desulfobulbaceae,Gemmatimonadaceae,unclassified_Pirellulales,unclassified_Chitinophagales,Saprospiraceae,unclassified_Actinobacteriota,unclassified_Desulfobacterales,unclassified_Flavobacteriales,unclassified_Oscillospirales,RBG.16.70.10,Desulfocapsaceae,Anaerolineaceae,unclassified_Xanthomonadales,CSP1.4,Polyangiaceae,unclassified_Gammaproteobacteria,Rhodomicrobiaceae,unclassified_Bacilli,Nitrospiraceae,unclassified_Geobacterales,Halomonadaceae,Halieaceae,unclassified_Desulfobacterota,envOPS12,Hyphomonadaceae,Rhodocyclaceae,Pyrinomonadaceae,unclassified_Luteitaleales,Opitutaceae,unclassified_Clostridia,Christensenellaceae,OLB5,unclassified_Lachnospirales,unclassified_Actinomycetales,unclassified_Bacillales,Bacillaceae_A,Caldibacillaceae,unclassified_Desulfuromonadales,Holophagaceae,unclassified_Lactobacillales,unclassified_Bacteroidota,vadinHA17,Solibacteraceae,Pedosphaeraceae,unclassified_Pedosphaerales,UBA2206,UBA932,unclassified_Bacteroidales,Fimbriimonadaceae,unclassified_Ignavibacteriales,Ignavibacteriaceae,Propionibacteriaceae,Barnesiellaceae,unclassified_Cytophagales
100001.c.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.65740792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.65946336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677740126,0,0,0,0,0,0,0,3.00538859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038232795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02548853,43.17757009,0,0,0,0,0,0,0,0.02548853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021240442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.59048428,0,0,0,0,0,0,0,0.85386576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229396771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038232795,0,0,0,0,0,0
100001.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.85519206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019648296,0.044208665,0,0,0,0,0,0,0,0.06385696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.87955595,0,0,0,0,0.034384517,0,0,0.068769034,0,0,0,0,0,0,0,0,0,0,0,0.024560369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009824148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025379637,0,0,0,0,40.70047798,0,0,0,0,0,0,0,0.016919758,0,0,0,0,0,0,0.008459879,0,0,0,0,0,0,0,0.021149698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.79366355,0,0,0,0,0,0,0,1.323971067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109978427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100002.c.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094082228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.21055603,0,0,0,0,0,0,0,0,3.415184872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470411139,0,0,16.18214319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762066046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865556496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100002.c.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033043807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165219033,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028323263,0,0,0,11.18768882,66.3141994,0,0,0,0,0,0,0,0.061367069,3.389350453,0,0,0,0,0,0.028323263,0,0,0,0,0,0,0,0,0,0,1.397280967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070808157,0,0,0,0,0,0,0.023602719,0,0,0,0,0,0,17.30079305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100003.c.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031106964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013331556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.81064747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013331556,0.146647114,0,0,0,0,0,0,0,0,0,0,12.43834155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026663112,0,0,0,0,0.02221926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462160601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035550815,0,0,0,0,0,0
100003.c.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321048759,0,0,0,0,99.4916728,0,0,0,0,0,0,0,0.013377032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173901411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100003.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01501727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010011513,0,0,0,0,0,0,0,0,0,0,0.375431747,99.32922861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055063323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215247535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100003.c.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055491329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078612717,0,0,0,0.027745665,90.33526012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106358382,0,0,0,0,0,0,0,0,0,0,8.56416185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027745665,0,0,0,0,0.027745665,0.027745665,0,0,0.115606936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633526012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100004.c.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049380974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01410885,90.14496843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038799337,0,0,0,0,0,0,0,0.031744912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049380974,0,0,0,0,0.010581637,0,0,2.980494515,1.139289619,0,0,0,0,0,0,0.038799337,0,0,0,0,0,0,5.481288138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021163275,0,0
100004.c.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03096934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.04758955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041292454,0,0,0,0,0,0,0,0,0.092908021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.192319604,0.449055435,0,0,0,0,0,0,0,0,0,0,0,0,0,1.145865593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100004.c.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035504159,92.22966119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040576182,0,0,0,0,0,0,0,0.040576182,0.05579225,0,0,0.025360114,0,0,0,0,0,0,0,0,0,0,0,0,0.040576182,0,0,0,0,0,0,0,0,0.060864273,0,0,0.040576182,0,0,0,0,0,0,0,0,0,0,7.303712721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126800568,0,0
100004.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.5055861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094579417,0,0,0,0,0,0,0,0,0,0,0,0,0,8.399834486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100005.c.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.76582924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.215629925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018540836,0,0,0,0,0,0
100010.c.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079607271,0,0,0,0,0,0,0,0,0,2.078634293,0,0,0,0,0,0,0,0,61.27548538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1455044,0,0,0,0,0,0,0,0,0.008845252,0,26.09349432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11498828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203440803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100010.c.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016406891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.7514356,0,0,0,0,0,0,0,0,0,0,0,0.262510254,0,0,0,0,0,0,0,0,0,0,0,0,0,1.968826907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027344818,0,0,0,0.049220673,0,0,0,0.546896363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366420563,0,0,0,0,0,0,0,0.010937927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100011.c.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030733296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030733296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061466593,50.50709939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.82525048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42793042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116786527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
