Samples,Euryarchaeota,Deferribacterota,Methylomirabilota,Bdellovibrionota,Proteobacteria,Firmicutes_A,Desulfobacterota,Campylobacterota,UBP10,Planctomycetota,Firmicutes,Cyanobacteriota,Myxococcota,Actinobacteriota,Firmicutes_C,Bacteroidota,Acidobacteriota,Nitrospirota,Fusobacteriota,Spirochaetota,Verrucomicrobiota,Desulfuromonadota,unclassified_Bacteria,Chloroflexota,MBNT15,Gemmatimonadota,Patescibacteria,Armatimonadota,Crenarchaeota
100001.c.062,0,0,0,0,66.65740792,0,0,0,0,0,3.00538859,0,0,0,29.65946336,0.677740126,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.060,0,0,0,0,43.45794393,0,0,0,0,0,0.85386576,0,0,0.021240442,0,55.62871708,0,0,0,0,0.038232795,0,0,0,0,0,0,0,0
100001.c.054,0,0,0,0,55.86501621,0.098241478,0,0,0,0,0.068769034,0,0,0.06385696,0,43.90411632,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.053,0,0,0,0,40.71739774,0.008459879,0,0,0,0,1.323971067,0,0,0.046529335,0,57.79366355,0,0,0,0,0,0,0.109978427,0,0,0,0,0,0
100002.c.057,0,0,0,0,78.30463825,3.415184872,0,0,0,0,0.762066046,0,0,0.470411139,16.18214319,0,0,0,0,0,0,0,0.865556496,0,0,0,0,0,0
100002.c.056,0,0,0,0,77.72847432,3.417673716,0,0,0,0,0.070808157,0,0,0.028323263,1.397280967,0.023602719,0,0,0,0,0.033043807,0,17.30079305,0,0,0,0,0,0
100003.c.057,0,0.013331556,0,0,86.81064747,0.182197929,0,0,0,0,0,0,0,0,12.43834155,0.062213927,0,0,0,0,0.031106964,0,0.462160601,0,0,0,0,0,0
100003.c.055,0,0,0,0,99.50504983,0,0,0,0,0,0,0,0,0.321048759,0,0,0,0,0,0,0,0,0.173901411,0,0,0,0,0,0
100003.c.054,0,0,0,0,99.70466036,0,0,0,0,0,0.065074836,0,0,0,0,0,0,0,0,0,0.01501727,0,0.215247535,0,0,0,0,0,0
100003.c.053,0,0,0,0,90.36300578,0.134104046,0,0,0,0,0.143352601,0,0,0.078612717,8.56416185,0.027745665,0,0,0,0,0.055491329,0,0.633526012,0,0,0,0,0,0
100004.c.059,0,0,0,0,90.15907728,0.049380974,0,0,0,0,4.119784135,0,0,0.052908187,0,0.088180311,0,0,0,0,0.049380974,0,5.481288138,0,0,0,0,0,0
100004.c.057,0,0,0,0,97.04758955,0.041292454,0,0,0,0,1.641375039,0,0,0.092908021,0,0,0,0,0,0,0.03096934,0,1.145865593,0,0,0,0,0,0
100004.c.055,0,0,0,0,92.26516535,0.040576182,0,0,0,0,0.101440454,0,0,0.223169,0.025360114,0.040576182,0,0,0,0,0,0,7.303712721,0,0,0,0,0,0
100004.c.054,0,0,0,0,91.5055861,0,0,0,0,0,0.094579417,0,0,0,0,0,0,0,0,0,0,0,8.399834486,0,0,0,0,0,0
100005.c.054,0,0,0,0,97.76582924,0,0,0,0,0,0,0,0,0,0,0.018540836,0,0,0,0,0,0,2.215629925,0,0,0,0,0,0
100010.c.058,0,0,0,0,61.35509265,12.22413869,0,0,0,0,0.11498828,0,0,0.008845252,26.09349432,0,0,0,0,0,0,0,0.203440803,0,0,0,0,0,0
100010.c.055,0,0,0,0,96.76237353,0.311730927,0,0,0,0,0.546896363,0,0,0,1.968826907,0.027344818,0,0,0,0,0.016406891,0,0.366420563,0,0,0,0,0,0
100011.c.057,0,0,0,0,50.59929928,0,0,0,0,0,2.42793042,0,0,0,46.82525048,0,0,0,0,0,0.030733296,0,0.116786527,0,0,0,0,0,0
100011.c.056,0,0,0,0,58.79061014,0,0,0,0,0,0.980586371,0,0,0,37.10875594,0,0,0,0,0,0,0,3.120047544,0,0,0,0,0,0
100011.c.055,0,0.017059994,0,0,99.78390674,0,0,0,0,0,0,0,0,0,0.039806653,0,0,0,0,0,0,0,0.159226614,0,0,0,0,0,0
100011.c.054,0,0,0,0,92.57774706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138217,0,7.408431237,0,0,0,0,0,0
100011.c.053,0,0,0,0,9.576971818,0,0,0,0,0,0.229316275,0,0,6.185504798,0,0,0,0,0,0,0,0,84.00820711,0,0,0,0,0,0
100012.c.058,0,0,0,0,84.41077966,0,0,0,0,0,15.24262014,0,0,0,0.031155074,0,0,0,0,0,0.035049459,0,0.280395669,0,0,0,0,0,0
100012.c.057,0,0,0,0,0.720793449,0,0,0,0,0,0.080728866,0,0,0.103794257,0,0.017299043,0,0,0,0,0,0,99.07738438,0,0,0,0,0,0
100012.c.056,0,0,0,0,7.907202721,0,0,0,0,0,0.139681768,0,0,11.18668772,0.060731204,0,0,0,0,0,0.018219361,0,80.68747723,0,0,0,0,0,0
100012.c.055,0,0,0,0,77.58430349,0.03010839,0,0,0,0,0.025090325,0,0,0,22.27017262,0,0,0,0,0,0.045162585,0,0.045162585,0,0,0,0,0,0
100012.c.054,0,0,0,0,49.47468455,0,0,0,0,0,0.073913732,0,0,0.612428066,0.718019112,0.095031941,0,0,0,0,0,0,49.0259226,0,0,0,0,0,0
100012.c.053,0,0,0,0,0,2.602119805,0,0,0,0,0.04763606,0.053590568,0,0.351315946,0.119090151,0.04763606,0,0,0,0,0,0,96.77861141,0,0,0,0,0,0
100014.c.057,0,0,0,0,78.57790228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.42209772,0,0,0,0,0,0
100014.c.056,0,0,0,0,10.82916369,0.053609721,0,0,0,0,0.366333095,0,0,0,0,0.022337384,0,0,0,0,0.017869907,0,88.7106862,0,0,0,0,0,0
100014.c.055,0,0.012086783,0,0,0.205475313,0,0,0,0,0,0,0,0,0.024173566,0,0,0,0,0,0,0,0,99.75826434,0,0,0,0,0,0
100014.c.054,0,0,0,0,13.88955011,0.023803856,0,0,0,0,16.97810045,0,0,1.666269936,10.02737443,0,0,0,0,0,0,0,57.41490121,0,0,0,0,0,0
100015.c.055,0,0,0,0,0.413531962,0,0,0,0,0,85.48154053,0,0,4.0904788,0.039858502,0,0,0,0,0,0.029893877,0,9.944696328,0,0,0,0,0,0
100015.c.054,0,0,0,0,44.14085135,0.035658569,0,0,0,0,29.45397816,0,0,8.495654112,0,0,0,0,0,0,0.026743927,0,17.84711388,0,0,0,0,0,0
100015.c.052,0,0,0,0,3.731187291,1.426630435,0,0,0,0,4.316471572,0,0,7.195861204,0.799540134,4.191053512,0,0,0,0,0.015677258,0,78.3235786,0,0,0,0,0,0
100016.c.057,0,0,0,0,2.040310297,1.937586341,0,0,0,0,91.8954341,0,0,1.12642131,0,0.017711027,0,0,0,0,0,0,2.982536927,0,0,0,0,0,0
100016.c.056,0,0,0,0,21.69351066,15.11728931,0,0,0,0,56.63302814,0,0,1.871282497,0.100247277,0,0,0,0,0,0.026732607,0,4.55790951,0,0,0,0,0,0
100016.c.055,0,0,0,0,2.084411265,17.97619928,0,0,0,0,69.42863478,0,0,1.751792446,0,0,0,0,0,0,0,0,8.758962229,0,0,0,0,0,0
100016.c.054,0,0,0,0,1.96681008,11.67234732,0,0,0,0,67.99463597,0,0,1.35218193,0,0.57551545,0.067050344,0,0,0,0,0,16.3714589,0,0,0,0,0,0
100016.c.053,0,0,0,0,0.215489923,0,0,0,0,0,0.240841678,0,0,2.002788693,0,0,0,0,0,0,0,0,97.54087971,0,0,0,0,0,0
100050.c.057,0,0,0,0,88.72242848,0.310111378,0,0,0,0,1.419523914,0,0,0,9.460580913,0.030574361,0,0,0,0,0,0,0.056780957,0,0,0,0,0,0
100050.c.052,0,0,0,0,52.74697421,11.2508713,0,0,0,0,35.8278943,0,0,0.11722958,0,0,0,0,0,0,0,0,0.057030606,0,0,0,0,0,0
100050.c.051,0,0,0,0,78.2418674,1.43034517,0,0,0,0,19.45368761,0,0,0.60094363,0.009932953,0,0,0,0,0,0,0,0.263223243,0,0,0,0,0,0
100001.c.064,0,0,0,0,76.13135469,0,0,0,0,0,0.984425507,0,0,0,22.72994417,0.154275639,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.066,0,0,0,0,85.2954928,0,0,0,0,0,3.043762858,0,0,0.144941088,11.33813353,0.149616607,0,0,0,0,0,0,0.028053114,0,0,0,0,0,0
100001.c.067,0,0,0,0,61.32042862,0.458002074,0,0,0,0,28.69858279,0,0,1.183892153,2.799861735,4.605945385,0,0,0,0,0,0,0.933287245,0,0,0,0,0,0
100001.c.069,0,0,0,0,46.68838219,0,0,0,0,0,11.27397756,0,0,10.15804078,3.269393172,28.6102063,0,0,0,0,0,0,0,0,0,0,0,0,0
100001.c.070,0,0,0,0,16.7815935,0.10241005,0,0,0,0,35.31098518,0,0,45.72267359,0.716870349,1.078719192,0,0,0,0,0.14337407,0,0.14337407,0,0,0,0,0,0
100003.c.063,0,0,0,0,15.67824024,42.81863274,0.183308173,0,0,0,2.986844943,0.528358853,0,21.63036446,3.245632952,3.968082812,0,0,0,0,0,0,8.960534829,0,0,0,0,0,0
100004.c.060,0,0,0,0,92.88561963,4.020439104,0,0,0,0,1.465551126,0,0,0.151608737,1.353248358,0.078611938,0,0,0.044921107,0,0,0,0,0,0,0,0,0,0
100005.c.056,0,0,0,0,27.792344,7.149099808,0,0,0,0,2.071316203,0,0,3.268659325,10.69306065,48.33945114,0,0,0,0,0,0,0.686068869,0,0,0,0,0,0
100005.c.058,0,0,0,0,36.41621354,5.679683638,0,0,0,0,11.71527435,0,0,16.36183885,27.86950074,0,0,0,1.171527435,0,0,0,0.785961443,0,0,0,0,0,0
100051.c.051,0,0,0,0,52.45018421,15.18836905,0,0,0,0,13.10066157,0,0,0.225805174,17.3671909,0,0,0,0.087152874,0,0,0,1.580636216,0,0,0,0,0,0
100051.c.055,0,0,0,0,51.51710188,10.23813902,0,0,0,0,4.211107025,0,0,0.381574108,7.617690327,0,0,0,16.93177639,0,0,0,9.102611254,0,0,0,0,0,0
100052.c.054,0,0,0,0,99.16312123,0.065454205,0,0,0,0,0.158960213,0,0,0.434802936,0,0.056103605,0,0,0,0,0,0,0.12155781,0,0,0,0,0,0
100053.c.051,0,0,0,0,89.90448838,8.252070532,0,0,0,0,1.399278653,0,0,0.277184077,0,0.016697836,0,0,0,0,0,0,0.150280524,0,0,0,0,0,0
100053.c.052,0,0,0,0,96.5154174,1.46903986,0,0,0,0,1.734770619,0,0,0.210579093,0,0.020055152,0,0,0,0,0,0,0.050137879,0,0,0,0,0,0
100054.c.051,0,0,0,0,95.26550815,4.121159951,0,0,0,0,0.301285845,0,0,0.312046054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100054.c.052,0,0,0,0,94.26871078,4.748043211,0,0,0,0,0.718028333,0,0,0.155249369,0,0,0,0,0,0,0,0,0.109968303,0,0,0,0,0,0
100055.c.051,0,0,0,0,0.075172898,0.01503458,0,0,0,0,0.636463867,0,0,0.260599379,0,0,0,0,0,0,0,0,99.01272928,0,0,0,0,0,0
100051.c.057,0,0,0,0,34.05126705,1.704026036,0,0.650894065,0,0,11.26631806,0,0,2.409770724,6.516254068,9.803634768,0,0,28.73075657,0.844699601,0.010970125,0,3.996782097,0,0,0,0.014626833,0,0
100051.c.065,0,0,0,0,0.133868809,73.1221181,0.039664832,0,0,0,20.57117358,0,0,3.668996976,0,1.120531509,0,0,0,0,0,0,1.34364619,0,0,0,0,0,0
100052.c.055,0,0,0,0,99.72826087,0.011814745,0,0,0,0,0.082703214,0,0,0,0,0,0,0,0,0,0,0,0.177221172,0,0,0,0,0,0
100052.c.059,0,0,0,0,75.88721077,0.02975969,0,0,0,0,0.200877911,0,0,0.104158917,23.04144037,0,0,0,0,0,0,0,0.73655234,0,0,0,0,0,0
100053.c.053,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100055.c.053,0,0,0,0,9.631260319,1.784731504,0,0,0,0,7.563487696,0,0,16.72301282,48.50224074,0,0,0,0,0,0,0,15.79526692,0,0,0,0,0,0
100055.c.054,0,0,0,0,0.273637634,1.04215184,0,0,0,0,17.50698649,0,0,55.76385654,8.017000466,0,0,0,10.00815091,0,0,0,7.388216116,0,0,0,0,0,0
100057.c.054,0,0,0,0,0.610687023,0,0,0,0,0,0.294034493,0,0,0.96692112,0.033927057,0,0,0,0,0,0,0,98.09443031,0,0,0,0,0,0
100058.c.054,0,0,0,0,95.13986836,0.558298072,0,0,0,0,0.393747062,0,0,0.023507287,0.393747062,0,0,0,0,0,0,0,3.490832158,0,0,0,0,0,0
100058.c.055,0,0,0,0,90.78731202,2.508530267,0,0,0,0,0.139011753,0,0,0.03159358,4.435738658,0,0,0,0,0,0,0,2.097813724,0,0,0,0,0,0
100061.c.052,0,0,0,0,99.78331528,0.021668472,0,0,0,0,0.014445648,0,0,0.036114121,0.057782593,0,0,0,0,0,0,0,0.086673889,0,0,0,0,0,0
100062.c.054,0,0,0,0,0.161014391,83.16393278,0,0,0,0,6.762604408,0,0,5.721042568,0,0.825198752,0,0,0,0,0,0,3.366207105,0,0,0,0,0,0
100063.c.052,0,0,0,0,0.175664598,92.07752664,0,0,0,0,5.305070851,0,0,1.124253425,0.158098138,0.427450521,0,0,0,0,0,0,0.731935824,0,0,0,0,0,0
100063.c.056,0.924920957,0,0,0,0.556840168,50.01179746,0,0,0,0,1.203341041,0,0,3.841253362,5.039875419,37.49705063,0,0,0,0,0,0,0.924920957,0,0,0,0,0,0
100064.c.051,0,0,0,0,28.99078813,0.032753327,0,0,0,0,0.135107472,0,0,0.237461617,0.065506653,70.44831116,0,0,0,0,0,0,0.090071648,0,0,0,0,0,0
100064.c.053,0,0,0,0,9.102194189,31.35274777,0.130846138,0.530094612,0,0,20.16372542,0,0,3.499295444,4.193786486,12.86318191,0,0,10.96423539,0.865597531,2.382070724,0,3.952224384,0,0,0,0,0,0
100065.c.051,0,0,0,0,99.41340782,0,0,0,0,0,0.069832402,0,0,0,0.398044693,0.020949721,0,0,0,0,0,0,0.097765363,0,0,0,0,0,0
100066.c.052,0,0,0,0,92.84084084,0,0,0,0,0,5.615615616,0,0,0.822822823,0.606606607,0.024024024,0,0,0,0,0,0,0.09009009,0,0,0,0,0,0
100004.c.051,0,0,0,0,9.466612378,77.9519544,0,0,0,0,7.288273616,0,0.325732899,3.786644951,0.101791531,0.732899023,0,0,0,0,0,0,0.346091205,0,0,0,0,0,0
100036.c.053,0,0,0,0,81.22824745,0.437857865,0,0,0,0,17.40204334,0,0,0,0,0,0,0.022454249,0,0,0,0,0.909397103,0,0,0,0,0,0
100036.c.057,0,0,0,0,68.92351586,7.077800944,0,0,0,0,1.492373532,0,0,5.344014046,17.14034895,0.02194667,0,0,0,0,0,0,0,0,0,0,0,0,0
100041.c.050,0,2.100067744,0,0,20.24581438,28.11381012,0.396786993,0,0,0,9.687409271,0,0,17.38120585,0.396786993,17.53604955,0,0,0,0,0.764540792,0,3.377528307,0,0,0,0,0,0
100041.c.053,0,0,0,0,74.45219932,0.633014121,0.600551858,0.162311313,0,0.081155657,3.10014608,0,0.357084889,0.957636747,0,6.930693069,3.229995131,1.201103717,0.259698101,0.048693394,1.834117838,0,4.203863009,0.649245252,0.941405616,0.113617919,0.097386788,0.146080182,0
100041.c.054,0,0,0,0,10.16949153,0.301499348,0,0,0,0,84.33018253,0,0,4.253585398,0.048891786,0,0,0,0,0,0,0,0.896349413,0,0,0,0,0,0
100041.c.056,0,0,0,0,66.89340709,0,0,0,0,0,26.4538795,0,0,0.171924054,0,0,0,0,0,0,0,0,6.465839438,0,0.014949918,0,0,0,0
100041.c.057,0,0,0,0,15.8772515,0.280186791,0,0,0,0,76.71781187,0,0,0.186791194,0,0.133422282,0,0,0,0,0,0,6.804536358,0,0,0,0,0,0
100041.c.058,0,0,0,0,25.86282699,0.626511321,0.043965707,0.142888547,0,0,70.25719938,0,0,0.395691361,0.109914267,1.198065509,0.087931413,0,0,0,0.09892284,0.19784568,0.703451308,0.09892284,0.120905694,0,0.054957133,0,0
100041.c.059,0,0,0,0,33.18049967,0,0,0,0,0,65.47206887,0,0,0.084214466,0,0,0,0,0,0,0,0,1.263216993,0,0,0,0,0,0
100041.c.060,0,0,0,0,77.60850504,1.863217887,0.043840421,0,0,0,13.93029373,0,0,1.063130206,0,0.48224463,0.328803157,0,0.120561157,0,0.197281894,0,4.175800088,0,0.131521263,0,0.054800526,0,0
100041.c.061,0,0,0,0,79.95028998,1.207243461,0.57995029,0.106521482,0,0,7.136939283,0,0.165700083,0.319564445,0.130192922,4.852645283,1.266422062,0.508935969,0.02367144,0,0.485264528,0,2.710379927,0.213042964,0.319564445,0,0,0,0.02367144
100041.c.065,0,0,0,0,98.82603215,0,0,0,0,0,1.173967854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100051.c.066,0,0,0,0,77.62711864,0,0,0,0,0,6.980539862,0,0,0.075329567,4.783427495,0.564971751,0,0,9.05210295,0,0,0,0.91650973,0,0,0,0,0,0
100052.c.056,0,0,0,0,99.8968254,0,0,0,0,0,0.103174603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100052.c.057,0,0,0,0,99.13005655,0,0,0,0,0,0,0,0,0,0.626359287,0,0,0,0,0,0,0,0.243584167,0,0,0,0,0,0
100052.c.058,0,0,0,0,98.10781512,0,0,0,0,0,0,0,0,0.029565389,1.557110476,0,0,0,0,0,0,0,0.305509017,0,0,0,0,0,0
100052.c.060,0,0,0,0,87.08213487,0.178970917,0,0,0,0,1.150527325,0,0,0.345158198,0.127836369,0.063918185,0,0,0,0,0,0,11.05145414,0,0,0,0,0,0
100052.c.061,0,0,0,0,91.81468786,0.90370832,0,0,0,0,5.069076556,0,0,0.810221253,0.218136491,0,0,0,0,0,0,0,1.184169523,0,0,0,0,0,0
100052.c.062,0,0,0,0,92.28470017,0.775266206,0,0,0,0,4.931813936,0,0,0.046702783,1.662619092,0,0,0,0,0,0,0,0.298897814,0,0,0,0,0,0
100052.c.064,0,0,0,0,97.05480788,0.321825629,0,0,0,0,2.545348157,0,0,0.078018334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100052.c.065,0,0,0,0,78.48841569,7.205518482,0,0,0,0,12.43907925,0,0,0.23243608,1.372122666,0.029991752,0,0,0,0,0,0.014995876,0.217440204,0,0,0,0,0,0
100053.c.054,0,0,0,0,87.36115,0,0,0,0,0,11.28535424,0,0,0.877438626,0.373378139,0,0,0,0,0,0,0,0.102678988,0,0,0,0,0,0
100054.c.054,0,0,0,0,85.03812779,0.894031028,0,0,0,0,3.663774213,0,0,10.36900692,0.03506004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100056.c.051,0,0,0,0,53.97545358,26.67200285,0,0,0,0,3.00604767,0,0,14.26538598,0,0,0,0,0,0,1.396300249,0,0.684809676,0,0,0,0,0,0
100057.c.052,0,0,0,0,0.399915807,0.056128534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.54395566,0,0,0,0,0,0
100058.c.052,0,0,0,0,98.12024235,0,0,0,0,0,1.817616902,0,0,0,0,0,0,0,0,0,0,0,0.062140749,0,0,0,0,0,0
100058.c.053,0,0,0,0,96.74561254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25438746,0,0,0,0,0,0
100060.c.051,0,0,0,0,5.439404678,0.451807229,0.035435861,0,0,0,0.079730687,0,0,0.177179305,0.177179305,0.088589653,0.062012757,0.053153792,0,0,0.070871722,0,93.36463501,0,0,0,0,0,0
100060.c.052,0,0,0,0,1.805364512,1.332530949,0,0,0,0,6.13823934,0,0,1.762379642,0,0.085969739,0,0,0,0,0.146148556,0,88.72936726,0,0,0,0,0,0
100061.c.051,0,0,0,0,99.57168052,0.170068027,0,0,0,0,0,0,0,0,0,0.07558579,0,0,0,0,0,0,0.182665659,0,0,0,0,0,0
100062.c.051,0.201390242,0,0,0,96.1411031,2.033391801,0,0,0,0,0.045475216,0,0,1.338270642,0,0.168907945,0,0,0,0,0,0,0.071461054,0,0,0,0,0,0
100063.c.053,0,0,0,0,98.47871293,0.098500602,0,0,0,0,0,0,0,0.098500602,0,0.514392032,0.175112181,0.109445113,0.043778045,0,0.142278647,0.153223159,0.065667068,0,0.120389625,0,0,0,0
100063.c.054,0,0,0,0,99.33663744,0.045749142,0,0,0,0,0.182996569,0,0,0,0.335493709,0,0,0,0,0,0,0,0.099123141,0,0,0,0,0,0
100064.c.055,0,0,0,0,84.2076201,0.331308669,0.496963004,0.331308669,0,0,2.93576293,0,0.211669428,0.819068655,0.101233204,4.739554574,1.408061844,0.552181115,0.331308669,0,0.84667771,0.570587153,1.573716179,0.147248297,0.395729799,0,0,0,0
100064.c.058,0,0,0,0,99.13036604,0,0,0,0,0,0.237172899,0,0,0.031623053,0.308324769,0.015811527,0,0,0,0,0,0,0.276701716,0,0,0,0,0,0
100066.c.051,0,0,0,0,46.16709733,26.6221648,0,0,0,0,6.790123457,0,0,5.806775768,1.478610393,0.502440425,0,0,8.096468562,0,3.186907838,0,1.349411427,0,0,0,0,0,0
100068.c.052,0,0,0,0,1.277826891,10.66463072,0,0,0,0,1.896648718,0,0,0.200916178,0.05625653,0,0,0,0,0,0,0,85.90372097,0,0,0,0,0,0
100068.c.054,0,0,0,0,98.28009828,0,0,0,0,0,0.343980344,0,0,0,1.375921376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100068.c.058,0,0,0,0,98.86376679,0.241019167,0,0,0,0,0.263973373,0,0,0,0,0.126248135,0.045908413,0.03443131,0,0,0,0.057385516,0.367267302,0,0,0,0,0,0
100069.c.051,0,0,0,0,56.18490773,20.00730861,0,0,0,0,5.243924721,0,0,9.336744016,1.041476338,1.224191485,2.265667824,0.749132103,0,0,0,0,3.051342956,0.895304221,0,0,0,0,0
100069.c.052,0,0,0,0,0,0.023607177,0,0,0,0,0,0,0,0,0,99.87016053,0,0,0,0,0,0,0.106232295,0,0,0,0,0,0
100070.c.051,0,0,0,0,99.94277212,0,0,0,0,0,0.057227881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100075.c.053,0,0,0,0,96.28879892,0,0,0,0,0,1.052631579,0,0,0.12145749,2.226720648,0.148448043,0,0,0,0,0,0,0.16194332,0,0,0,0,0,0
100075.c.054,0,0,0,0,88.55022528,0.053008216,0,0,0,0,8.984892658,0,0,0,0,0.039756162,0.172276703,0.053008216,0.053008216,0,0,0,2.093824543,0,0,0,0,0,0
100076.c.051,0,0,0,0,85.37969335,1.171073283,0,0.253531329,0,0,7.195460582,0,0.120729204,0.313895931,0.398406375,2.100688156,0.869250272,0.036218761,0,0,0.26560425,0,1.533260896,0.156947966,0.205239647,0,0,0,0
100078.c.051,0,0,0,0,70.85281674,2.616343799,1.035404142,0.178134046,0.055666889,0.089067023,10.62124248,0,0.423068359,2.171008684,0.512135382,5.043420174,1.67000668,0.200400802,0.066800267,0,0.256067691,0.31173458,2.8167446,0.83500334,0.222667557,0,0.022266756,0,0
100078.c.052,0,0,0,0,82.22104145,0.350690755,0.127523911,0,0,0,0.605738576,0,0,0.095642933,0.446333688,15.66418704,0,0.191285866,0,0,0.106269926,0,0,0.04250797,0.127523911,0.021253985,0,0,0
100083.c.052,0,0,0,0,73.05577376,0.04488834,0,0,0,0,25.56390977,0,0,0.078554595,0,0.460105488,0.134665021,0,0,0,0.033666255,0,0.527437998,0.04488834,0.056110425,0,0,0,0
100083.c.053,0,0,0,0,96.82552978,0.552810118,0,0,0,0,2.429014155,0,0,0,0,0,0,0,0,0,0,0,0.19264595,0,0,0,0,0,0
100083.c.054,0,0,0,0,83.72472686,4.596257692,0.364184353,0,0,0,1.946502574,0,0.200929298,0.376742434,0,4.458118799,0.89162376,0.728368705,0.150696974,0,0.389300515,0,1.494411654,0.326510109,0.351626272,0,0,0,0
100084.c.051,0,0,0,0,67.14330446,0.407055631,0,0,0,0,12.23254358,0,0,0.18787183,0,0,0,0,0,0,0,0,20.02922451,0,0,0,0,0,0
100084.c.052,0,0,0,0,72.77218317,6.004180125,0,0,0,0,13.45240357,0,0,0.617518526,6.650199506,0,0.085502565,0,0,0,0,0,0.39901197,0.01900057,0,0,0,0,0
100090.c.051,0,0,0,0,45.85047667,2.789764175,0,0,0,0,7.596588058,0,0,37.93276468,0.180632213,0,0,0,0,0,0.060210738,0,5.559458103,0,0.030105369,0,0,0,0
100091.c.051,0,0,0.19379845,0,79.625323,0.516795866,1.098191214,0.271317829,0,0.064599483,0.581395349,0.051679587,0.348837209,0.865633075,0,7.622739018,2.519379845,1.175710594,0.361757106,0,0.645994832,0.813953488,2.105943152,0.310077519,0.620155039,0,0,0.142118863,0.064599483
100091.c.053,0,0,0,0,86.19095931,0.552361628,1.228722805,0.30436253,0,0,0.247999098,0,0.39454402,0.619997745,0,4.385074963,1.476721903,0.856724157,0.225453726,0,0.766542667,0.135272235,1.566903393,0.495998196,0.495998196,0.056363431,0,0,0
